City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Hualmay,PE,66.61,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
416,Tahoua,NE,89.22,broken clouds,14.8888,5.2692,Bungalows Guesthouse
418,Miranda,CO,71.73,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
419,Camana,PE,63.9,scattered clouds,-16.6228,-72.7111,Hostal Morales
423,Burns Lake,CA,65.62,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
424,Ferkessedougou,CI,73.98,overcast clouds,9.6,-5.2,Hotel Chateau
426,Zyryanka,RU,63.73,overcast clouds,65.75,150.85,
427,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
428,Vysokogornyy,RU,68.63,scattered clouds,50.1167,139.15,
430,Santa Cruz De Tenerife,ES,80.71,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
431,Quelimane,MZ,67.95,light rain,-17.8786,36.8883,Hotel Flamingo
432,Gwadar,PK,82.24,overcast clouds,25.1216,62.3254,Sadaf Resort
433,Petaling Jaya,MY,80.35,few clouds,3.1073,101.6067,"GoodHope Hotel, Kelana Jaya"
434,Maxixe,MZ,60.62,scattered clouds,-23.8597,35.3472,Oceano
435,Cotonou,BJ,78.78,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
436,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
437,Inhambane,MZ,60.78,scattered clouds,-23.865,35.3833,Oceano
438,College,US,62.26,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
439,Juegang,CN,78.53,moderate rain,32.3174,121.1855,Rudong Y Hotel
440,Sabang,ID,83.25,overcast clouds,5.8933,95.3214,Hotel Citra
442,Almaznyy,RU,68.14,overcast clouds,48.0448,40.045,
443,Cairns,AU,66.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
444,Las Choapas,MX,87.24,broken clouds,17.9333,-94.0833,Hotel Jysmak
448,Camacupa,AO,61.03,clear sky,-12.0167,17.4833,
450,Preobrazheniye,RU,71.98,clear sky,42.9019,133.9064,Campsite Orlan
451,Roma,US,84.06,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
452,Kapoeta,SS,71.85,overcast clouds,4.7717,33.5903,Eastgate Hotel
455,Puli,TW,79.41,overcast clouds,23.9664,120.9695,小島好樂
457,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Udaya Boys Hostel
458,Hami,CN,87.03,clear sky,42.8,93.45,Laoyutang Resort
464,Wuwei,CN,75.81,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
465,Nikolayevsk-Na-Amure,RU,72.12,broken clouds,53.1406,140.73,"Mini-hotel ""Quiet Harbor"""
466,Batticaloa,LK,82.15,overcast clouds,7.7102,81.6924,Grand Star Guest House
467,Vawkavysk,BY,65.59,broken clouds,53.1561,24.4513,Krasnosiel'skii
469,The Valley,AI,86.14,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
471,Grants,US,75.43,scattered clouds,35.1473,-107.8514,"Motel 6 Grants, NM"
473,Hovd,MN,65.8,scattered clouds,48.0056,91.6419,Hotel Khovd
474,Zhezkazgan,KZ,84.74,clear sky,47.8043,67.7144,Hotel Zumrat
475,Saint-Joseph,RE,67.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
479,Catuday,PH,80.89,moderate rain,16.2923,119.8062,Benjie's Kubo & Cottages
480,Chikhli,IN,74.1,light rain,20.35,76.25,Madarsa Block
